message_id,recommended_priority,priority_grade,recommended_reply_type,reply_grade,info_sufficient,rationale
ep-00000-m-0000,P1,good,ANSWER,borderline,1,"Status check is actionable; you can reply asking owner for status, but that’s essentially answering. REQUEST_INFO is acceptable but slightly off."
ep-00000-m-0001,P2,good,NONE,good,1,Explicit FYI with no action needed; no reply required.
ep-00000-m-0002,P0,good,REQUEST_INFO,borderline,0,Urgent go/no-go needed; you can’t decide without fallback details. Reply should request info rather than imply you’ll decide now.
ep-00000-m-0003,P1,good,REQUEST_INFO,good,0,Needs recommendation but options/criteria missing; requesting details is appropriate.
ep-00000-m-0004,P0,good,REQUEST_INFO,good,0,Urgent decision required; requesting minimum details to make go/no-go is appropriate.
ep-00000-m-0005,P1,good,REQUEST_INFO,good,0,Action requested this week; needs clarification on which numbers/where to send. P1 and asking specifics is reasonable.
ep-00000-m-0006,P2,good,NONE,good,1,Explicit FYI with no action needed. P2 and no reply required are appropriate.
ep-00000-m-0007,P2,good,NONE,good,1,"Minor change, no action needed. Routine FYI; P2 and no response is fine."
ep-00000-m-0008,P1,good,REQUEST_INFO,good,0,Needs the draft/link to review; request is important but not emergency. P1 and asking for document/deadline fits.
ep-00000-m-0009,P0,good,REQUEST_INFO,good,0,Marked urgent with a specific deadline; confirming numbers requires deck and metric list. P0 and requesting essentials is appropriate.
ep-00000-m-0010,P1,good,REQUEST_INFO,good,0,Actionable request for scope cuts; needs current scope and constraints to recommend MVP. Not an emergency.
ep-00000-m-0011,P2,good,NONE,good,1,Pure FYI progress update with promise of later details; no question or action requested.
ep-00000-m-0012,P0,good,REQUEST_INFO,good,0,Time-sensitive contract sign-off by stated deadline; need final document and signing workflow to proceed.
ep-00000-m-0013,P0,good,REQUEST_INFO,good,0,Urgent approval needed to avoid slip; must see revised plan and approval mechanism before acting.
ep-00000-m-0014,P1,good,ANSWER,borderline,0,They asked who owns next action; you could propose an owner/timeline or ask clarifying details. Requesting info is reasonable but not required.
ep-00000-m-0015,P2,good,NONE,good,1,Pure FYI with explicit no action needed; routine update can wait and doesn’t require response.
ep-00000-m-0016,P2,good,NONE,good,1,Visibility-only FYI and no action requested; P2 and no reply are appropriate.
ep-00000-m-0017,P2,good,NONE,good,1,"Progress FYI with promise of later update; no ask, so P2 and no response needed."
ep-00000-m-0018,P1,good,REQUEST_INFO,good,0,Action requested this week; important but not emergency. Clarification on which numbers/source is needed to comply.
ep-00000-m-0019,P0,good,REQUEST_INFO,borderline,0,Urgent blocking go/no-go decision by a date merits P0. But you may need to decide now; asking questions could delay.
ep-00000-m-0020,P2,good,NONE,good,1,Pure FYI progress note with promise of later update; no action requested.
ep-00000-m-0021,P1,bad,REQUEST_INFO,good,0,"Urgent but due date isn’t same-day; important to handle soon, not emergency. Needs deck/metrics to confirm."
ep-00000-m-0022,P1,good,REQUEST_INFO,good,0,Review requested but draft not provided; asking for link and expectations is appropriate.
ep-00000-m-0023,P1,bad,REQUEST_INFO,good,0,"Approval needed by a date, but not necessarily same-day; should be P1 unless truly immediate. Needs plan to approve."
ep-00000-m-0024,P1,good,ANSWER,bad,1,"They asked for status/next step; you should provide it (or say you’ll check), not ask them for details."
ep-00000-m-0025,P2,good,NONE,good,1,Explicit FYI with no action needed; routine update can wait and doesn’t require response.
ep-00000-m-0026,P2,good,NONE,good,1,"Same as above: minor change, no action requested; logging only is appropriate."
ep-00000-m-0027,P1,good,REQUEST_INFO,good,0,"Action requested “this week” but unspecified; needs clarification to proceed, so request details soon."
ep-00000-m-0028,P0,good,REQUEST_INFO,good,0,Blocking incident with urgent decision deadline; P0 fits and details are needed to make go/no-go call.
ep-00000-m-0029,P1,borderline,ANSWER,bad,0,"They asked you for status; you should provide your current status/next step, not ask them for it unless you truly lack access."
ep-00000-m-0030,P2,good,ACK,good,1,Non-urgent draft shared for reference; optional acknowledgment is appropriate.
ep-00000-m-0031,P2,good,NONE,good,1,Pure FYI minor change with no action requested; no reply needed.
ep-00000-m-0032,P2,good,NONE,good,1,FYI schedule shift; sender will confirm new plan. No response required.
ep-00000-m-0033,P2,good,NONE,good,1,Progress FYI with promise of later update; can be left without reply.
ep-00000-m-0034,P1,good,REQUEST_INFO,borderline,1,They asked who owns next action and timeline; you can answer/assign or ask internally. Requesting more info may be unnecessary.
ep-00000-m-0035,P1,good,REQUEST_INFO,good,0,They’re asking what’s blocked; you need specifics to act. Due date suggests urgency but not same-day.
ep-00000-m-0036,P2,good,REQUEST_INFO,good,0,"Status/next step request needs details from owner; due date is far, so routine priority fits."
ep-00000-m-0037,P2,good,NONE,borderline,1,"FYI update doesn’t require action, but a brief ACK could be appropriate since they promise a new plan."
ep-00000-m-0038,P1,good,REQUEST_INFO,good,0,‘This week’ action needed but unspecified; clarifying requested action and deadline is necessary.
ep-00000-m-0039,P1,good,REQUEST_INFO,good,0,Need to know which numbers/definitions to provide; time-bound ‘this week’ makes it important but not emergency.
ep-00000-m-0040,P0,good,REQUEST_INFO,good,0,Contract sign-off due by a specific near-term date; urgent and blocking. Need the final version/workflow details to proceed.
ep-00000-m-0041,P2,bad,REQUEST_INFO,good,0,"Due date is far out; not urgent. Still needs plan/doc details to approve, so requesting info is reasonable."
ep-00000-m-0042,P2,good,ANSWER,borderline,0,"Status check is routine. Better to answer with your known status; if you lack it, requesting info is acceptable."
ep-00000-m-0043,P2,bad,ANSWER,borderline,0,Status check without urgency should be P2. Ideally provide status/next step; request info only if you truly don’t know.
ep-00000-m-0044,P2,bad,REQUEST_INFO,good,0,Ownership/timeline clarification is routine unless deadline is imminent. Need more context to identify the next action owner.
ep-00000-m-0045,P0,borderline,REQUEST_INFO,good,0,Contract sign-off needed by a specific near-term date; could be deadline-critical. Asking for docs/workflow is appropriate.
ep-00000-m-0046,P1,good,REQUEST_INFO,good,0,"Wants a recommendation but provides no options/context. Important, due soon; clarifying questions are necessary."
ep-00000-m-0047,P2,good,NONE,good,1,Explicit FYI with no action needed; no reply required.
ep-00000-m-0048,P2,borderline,REQUEST_INFO,good,0,Due date is far out; request is actionable but not urgent. Need materials/scope to assess risks.
ep-00000-m-0049,P1,good,REQUEST_INFO,good,0,Asks for quick action this week but doesn’t specify what. Clarification needed; should be handled soon.
