episode_id,employee_id,message_id,thread_id,arrival_min,subject,body,archetype,gold_priority,gold_reply_type,gold_required_key,gold_required_value,needs_memory,is_anchor_message,n_threads
ep-00001,emp-011,ep-00001-m-0000,ep-00001-th-001,0.407,FYI update | R759,Thread anchor. Project R759. Owner Cameron Garcia. Due 2001-04-25. FYI: we made progress and will follow up with a fuller update later. Looping you in for visibility.,informational_update,P2,ACK,none,,0,1,105
ep-00001,emp-011,ep-00001-m-0001,ep-00001-th-002,3.772,[URGENT] Contract signature | Q608,Thread anchor. Project Q608. Owner Morgan Kim. Due 2001-02-22. Need sign-off on the final contract terms so we can execute before the deadline. Need action by 2001-02-22. This is soon. Looping you in for visibility.,deadline_request,P0,ANSWER,none,,0,1,105
ep-00001,emp-011,ep-00001-m-0002,ep-00001-th-003,4.406,Schedule change | I505,Thread anchor. Project I505. Owner Alex Clark. Due 2001-04-24. FYI: timeline shifted; we will adjust and confirm the new plan. Best.,informational_update,P2,ACK,none,,0,1,105
ep-00001,emp-011,ep-00001-m-0003,ep-00001-th-004,7.328,[URGENT] Approval needed | X270,Thread anchor. Project X270. Owner Cameron Chen. Due 2001-12-28. Need your approval on the revised plan so we can proceed without slipping the due date. Need action by 2001-12-28. This is urgent. Thanks.,deadline_request,P0,ANSWER,none,,0,1,105
ep-00001,emp-011,ep-00001-m-0004,ep-00001-th-005,12.041,Risk assessment | K735,Thread anchor. Project K735. Owner Taylor Shah. Due 2001-06-26. Can you assess the main risks and propose mitigations before we commit? Please take a look and reply with your recommendation. Thanks.,request_with_question,P1,ANSWER,none,,0,1,105
ep-00001,emp-011,ep-00001-m-0005,ep-00001-th-006,13.254,Decision recommendation | A858,Thread anchor. Project A858. Owner Morgan Kim. Due 2001-03-02. Which option should we choose and why? Please recommend a path with 1-2 key tradeoffs. Please take a look and reply with your recommendation. Looping you in for visibility.,request_with_question,P1,ANSWER,none,,0,1,105
ep-00001,emp-011,ep-00001-m-0006,ep-00001-th-007,14.94,FYI update | X298,Thread anchor. Project X298. Owner Sam Chen. Due 2001-02-06. FYI: we made progress and will follow up with a fuller update later. Sharing in case useful.,informational_update,P2,ACK,none,,0,1,105
ep-00001,emp-011,ep-00001-m-0007,ep-00001-th-008,15.714,FYI update | C174,Thread anchor. Project C174. Owner Avery Patel. Due 2001-08-26. FYI: we made progress and will follow up with a fuller update later. Thanks.,informational_update,P2,ACK,none,,0,1,105
ep-00001,emp-011,ep-00001-m-0008,ep-00001-th-009,20.723,Schedule change | W319,Thread anchor. Project W319. Owner Casey Chen. Due 2001-05-04. FYI: timeline shifted; we will adjust and confirm the new plan. Looping you in for visibility.,informational_update,P2,ACK,none,,0,1,105
ep-00001,emp-011,ep-00001-m-0009,ep-00001-th-010,22.804,Send requested data | B282,Thread anchor. Project B282. Owner Jordan Chen. Due 2001-10-09. Please send the requested numbers (or point me to where they live) so I can finish the update. Please handle this this week. Looping you in for visibility.,direct_request,P1,ANSWER,none,,0,1,105
ep-00001,emp-011,ep-00001-m-0010,ep-00001-th-011,25.897,Decision recommendation | W594,Thread anchor. Project W594. Owner Avery Khan. Due 2001-05-04. Which option should we choose and why? Please recommend a path with 1-2 key tradeoffs. Please take a look and reply with your recommendation. Best.,request_with_question,P1,ANSWER,none,,0,1,105
ep-00001,emp-011,ep-00001-m-0011,ep-00001-th-012,29.577,Heads up | J336,Thread anchor. Project J336. Owner Cameron Miller. Due 2001-10-05. FYI: there is a minor change; no action needed from you right now. Best.,informational_update,P2,ACK,none,,0,1,105
ep-00001,emp-011,ep-00001-m-0012,ep-00001-th-013,38.521,Quick action needed | G701,Thread anchor. Project G701. Owner Morgan Khan. Due 2001-02-22. Please take the requested action and confirm once done (or tell me what is blocked). Please handle this this week. Noted for reference.,direct_request,P1,ANSWER,none,,0,1,105
ep-00001,emp-011,ep-00001-m-0013,ep-00001-th-014,39.412,Heads up | L752,Thread anchor. Project L752. Owner Jamie Brown. Due 2001-06-03. FYI: there is a minor change; no action needed from you right now. Regards.,informational_update,P2,ACK,none,,0,1,105
ep-00001,emp-011,ep-00001-m-0014,ep-00001-th-015,39.808,Review and respond | M559,Thread anchor. Project M559. Owner Casey Chen. Due 2001-10-13. Please review the latest draft and reply with any edits or approval to proceed. Please handle this this week. Thanks.,direct_request,P1,ANSWER,none,,0,1,105
ep-00001,emp-011,ep-00001-m-0015,ep-00001-th-016,41.29,Quick action needed | E197,Thread anchor. Project E197. Owner Taylor Patel. Due 2001-09-08. Please take the requested action and confirm once done (or tell me what is blocked). Please handle this this week. Looping you in for visibility.,direct_request,P1,ANSWER,none,,0,1,105
ep-00001,emp-011,ep-00001-m-0016,ep-00001-th-017,43.715,Send requested data | M658,Thread anchor. Project M658. Owner Sam Brown. Due 2001-02-17. Please send the requested numbers (or point me to where they live) so I can finish the update. Please handle this this week. Thanks.,direct_request,P1,ANSWER,none,,0,1,105
