episode_id,employee_id,message_id,thread_id,arrival_min,subject,body,archetype,gold_priority,gold_reply_type,gold_project_code,gold_required_key,gold_required_value,needs_memory,is_anchor_message,n_threads
ep-00000,emp-003,ep-00000-m-0000,ep-00000-th-001,4.458,Heads up | U688,Thread anchor. Project U688. Owner Morgan Chen. Due 2001-11-03. FYI: there is a minor change; no action needed from you right now. Thanks.,informational_update,P2,ACK,U688,none,,0,1,50
ep-00000,emp-003,ep-00000-m-0001,ep-00000-th-002,9.16,Heads up | N977,Thread anchor. Project N977. Owner Riley Miller. Due 2001-09-23. FYI: there is a minor change; no action needed from you right now. Best.,informational_update,P2,ACK,N977,none,,0,1,50
ep-00000,emp-003,ep-00000-m-0002,ep-00000-th-003,11.138,Owner clarification | L549,"Thread anchor. Project L549. Owner Taylor Patel. Due 2001-12-22. Question: who owns the next action here, and what is the expected timeline? Regards.",information_request,P1,REQUEST_INFO,L549,none,,0,1,50
ep-00000,emp-003,ep-00000-m-0003,ep-00000-th-004,12.341,Heads up | O498,Thread anchor. Project O498. Owner Morgan Kim. Due 2001-02-16. FYI: there is a minor change; no action needed from you right now. Regards.,informational_update,P2,ACK,O498,none,,0,1,50
ep-00000,emp-003,ep-00000-m-0004,ep-00000-th-005,15.646,Draft attached | V348,Thread anchor. Project V348. Owner Jamie Patel. Due 2001-10-20. Sharing the latest draft for reference. No action required yet unless you spot an issue. Best.,document_delivery,P2,ACK,V348,none,,0,1,50
ep-00000,emp-003,ep-00000-m-0005,ep-00000-th-006,16.37,[URGENT] Blocking incident | L902,Thread anchor. Project L902. Owner Jamie Miller. Due 2001-10-06. A blocking issue is preventing progress; need a go/no-go decision on the fallback option. Need action by 2001-10-06. This is urgent. Regards.,deadline_request,P0,ANSWER,L902,none,,0,1,50
ep-00000,emp-003,ep-00000-m-0006,ep-00000-th-007,17.602,[URGENT] Contract signature | B768,Thread anchor. Project B768. Owner Jamie Khan. Due 2001-09-11. Need sign-off on the final contract terms so we can execute before the deadline. Need action by 2001-09-11. This is urgent. Best.,deadline_request,P0,ANSWER,B768,none,,0,1,50
ep-00000,emp-003,ep-00000-m-0007,ep-00000-th-008,17.744,[URGENT] Blocking incident | B522,Thread anchor. Project B522. Owner Riley Patel. Due 2001-06-04. A blocking issue is preventing progress; need a go/no-go decision on the fallback option. Need action by 2001-06-04. This is soon. Sharing in case useful.,deadline_request,P0,ANSWER,B522,none,,0,1,50
ep-00000,emp-003,ep-00000-m-0008,ep-00000-th-009,17.913,[URGENT] Board deck numbers | F945,Thread anchor. Project F945. Owner Morgan Patel. Due 2001-10-18. Please confirm the final numbers for the deck (key metrics + narrative) before distribution. Need action by 2001-10-18. This is soon. Thanks.,deadline_request,P0,ANSWER,F945,none,,0,1,50
ep-00000,emp-003,ep-00000-m-0009,ep-00000-th-010,18.186,Review and respond | L823,Thread anchor. Project L823. Owner Cameron Garcia. Due 2001-11-09. Please review the latest draft and reply with any edits or approval to proceed. Please handle this this week. Regards.,direct_request,P1,ANSWER,L823,none,,0,1,50
ep-00000,emp-003,ep-00000-m-0010,ep-00000-th-011,18.911,Send requested data | D848,Thread anchor. Project D848. Owner Jordan Clark. Due 2001-01-23. Please send the requested numbers (or point me to where they live) so I can finish the update. Please handle this this week. Regards.,direct_request,P1,ANSWER,D848,none,,0,1,50
ep-00000,emp-003,ep-00000-m-0011,ep-00000-th-012,18.97,Quick action needed | M733,Thread anchor. Project M733. Owner Sam Miller. Due 2001-07-13. Please take the requested action and confirm once done (or tell me what is blocked). Please handle this this week. Noted for reference.,direct_request,P1,ANSWER,M733,none,,0,1,50
ep-00000,emp-003,ep-00000-m-0012,ep-00000-th-013,18.996,Review and respond | D320,Thread anchor. Project D320. Owner Jordan Chen. Due 2001-09-19. Please review the latest draft and reply with any edits or approval to proceed. Please handle this this week. Thanks.,direct_request,P1,ANSWER,D320,none,,0,1,50
ep-00000,emp-003,ep-00000-m-0013,ep-00000-th-014,20.659,Send requested data | C787,Thread anchor. Project C787. Owner Casey Shah. Due 2001-07-16. Please send the requested numbers (or point me to where they live) so I can finish the update. Please handle this this week. Noted for reference.,direct_request,P1,ANSWER,C787,none,,0,1,50
ep-00000,emp-003,ep-00000-m-0014,ep-00000-th-015,21.09,[URGENT] Approval needed | H641,Thread anchor. Project H641. Owner Alex Garcia. Due 2001-06-28. Need your approval on the revised plan so we can proceed without slipping the due date. Need action by 2001-06-28. This is soon. Looping you in for visibility.,deadline_request,P0,ANSWER,H641,none,,0,1,50
ep-00000,emp-003,ep-00000-m-0015,ep-00000-th-016,21.338,Schedule change | A310,Thread anchor. Project A310. Owner Cameron Lee. Due 2001-11-08. FYI: timeline shifted; we will adjust and confirm the new plan. Looping you in for visibility.,informational_update,P2,ACK,A310,none,,0,1,50
ep-00000,emp-003,ep-00000-m-0016,ep-00000-th-017,21.643,[URGENT] Board deck numbers | R213,Thread anchor. Project R213. Owner Casey Brown. Due 2001-10-28. Please confirm the final numbers for the deck (key metrics + narrative) before distribution. Need action by 2001-10-28. This is soon. Sharing in case useful.,deadline_request,P0,ANSWER,R213,none,,0,1,50
ep-00000,emp-003,ep-00000-m-0017,ep-00000-th-018,21.743,Send requested data | I250,Thread anchor. Project I250. Owner Taylor Lee. Due 2001-02-03. Please send the requested numbers (or point me to where they live) so I can finish the update. Please handle this this week. Sharing in case useful.,direct_request,P1,ANSWER,I250,none,,0,1,50
ep-00000,emp-003,ep-00000-m-0018,ep-00000-th-019,22.228,Quick action needed | M744,Thread anchor. Project M744. Owner Jordan Khan. Due 2001-07-27. Please take the requested action and confirm once done (or tell me what is blocked). Please handle this this week. Best.,direct_request,P1,ANSWER,M744,none,,0,1,50
ep-00000,emp-003,ep-00000-m-0019,ep-00000-th-020,22.351,Review and respond | M501,Thread anchor. Project M501. Owner Jordan Garcia. Due 2001-03-09. Please review the latest draft and reply with any edits or approval to proceed. Please handle this this week. Thanks.,direct_request,P1,ANSWER,M501,none,,0,1,50
ep-00000,emp-003,ep-00000-m-0020,ep-00000-th-021,24.967,Scope tradeoff | J962,"Thread anchor. Project J962. Owner Alex Garcia. Due 2001-02-10. If we need to cut scope, what would you remove first? Please recommend a minimal viable plan. Please take a look and reply with your recommendation. Thanks.",request_with_question,P1,ANSWER,J962,none,,0,1,50
