episode_id,employee_id,message_id,thread_id,arrival_min,subject,body,archetype,gold_priority,gold_reply_type,gold_required_key,gold_required_value,needs_memory,is_anchor_message,n_threads
ep-00000,emp-003,ep-00000-m-0000,ep-00000-th-001,0.526,Fw: Resignation Letter - Paulo Issler | U688,"Thread brief for project U688. Owner is Morgan Chen. Due date is 2001-11-03. Priority posture is urgent. --------------------------vince kaminski


-----Original Message-----
From: Issler, Paulo <Paulo.Issler@ENRON.com>
To: Crenshaw, Shirley <Shirley.Crenshaw@ENRON.com>; Kaminski, Vince J <Vince.J.Kaminski@ENRON.com>
Sent: Thu Dec 06 15:18:47 2001
Subject: Resign",deadline_request,P0,ANSWER,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0001,ep-00000-th-002,1.27,Re: Price Limit Order Language | S281,"Thread brief for project S281. Owner is Alex Brown. Due date is 2001-12-21. Priority posture is low. Further to Louise's suggestion:

On selecting ""Create Price Limit Order"" from the submission window, a link 
should appear titled ""How Price Limit Orders Work"". Suggest a location 
immediately below the bar containing the ""Create Submission"" and ""Create 
Price",informational_update,P2,ACK,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0002,ep-00000-th-003,2.913,"PLEASE READ - IMPORTANT INFORMATION FOR PARTICIPANTS IN THE ENRON
 SAVINGS PLAN | T745","Thread brief for project T745. Owner is Riley Brown. Due date is 2001-02-24. Priority posture is low. Due to current business circumstances, on November 28, 2001, Enron's Board of Directors adopted an amendment to the Enron Corp. Savings Plan.  The amendment includes the following changes, which became effective on November 29:

?	Savings Plan contributions th",informational_update,P2,ACK,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0003,ep-00000-th-004,5.768,Enron's transmission/power exchange model for discussion | L549,"Thread brief for project L549. Owner is Taylor Patel. Due date is 2001-12-22. Priority posture is urgent. Attached for comments/discussion is the gov't affairs' draft proposal for an 
Enron model for RTOs.  This includes the flowgate transmission rights model.  
We are also working on a new open access tariff based on this model.  RTO 
proposals are due to FERC 10",deadline_request,P0,ANSWER,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0004,ep-00000-th-005,6.225,Manitoba Services Deal | Q461,"Thread brief for project Q461. Owner is Cameron Brown. Due date is 2001-06-13. Priority posture is low. An extension of the Services contract with Manitoba (MHEB) has been signed and begins tomorrow, November 1st.  In addition to purchasing from MHEB, we need to focus heavily on selling to MHEB.  With the change of season, MHEB may frequently be short.  As with ",informational_update,P2,ACK,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0005,ep-00000-th-006,6.335,Good note:  I just wanted to say that I respect you dearly...... | F182,"Thread brief for project F182. Owner is Casey Clark. Due date is 2001-01-25. Priority posture is low. Good evening Mr. Lay:
 
I just wanted to give you a positive note on my behalf.  I really don't know if you will read this, but if you do I wish you all the best with Enron.  I don't know if I'm one of those employees who will be laid off, but on the good side",informational_update,P2,ACK,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0006,ep-00000-th-007,9.907,KCS Amendments | V348,"Thread brief for project V348. Owner is Jamie Patel. Due date is 2001-10-20. Priority posture is low. Mr. Stout:
I understand from your e-mail to Lisa Mellencamp that Zachary May is out of 
the office.  I am helping Lisa out on this matter as an attorney in our 
financial derivatives group.  In addition, Stacy Dickson is handling all 
matters relating to physi",informational_update,P2,ACK,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0007,ep-00000-th-008,10.13,Andy Becnel and Bruce Reemsnyder | J161,"Thread brief for project J161. Owner is Avery Chen. Due date is 2001-11-19. Priority posture is normal. Any interest in either of these candidates?  They are presented by a 
headhunter.  Let me know.  Michelle

---------------------- Forwarded by Michelle Cash/HOU/ECT on 11/13/2000 02:47 
PM ---------------------------


Tracie_Waligura@rwr.com on 11/10/2000 10:",direct_request,P1,ANSWER,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0008,ep-00000-th-009,10.715,Class Confirmation - Harassment Avoidance | U783,"Thread brief for project U783. Owner is Jordan Garcia. Due date is 2001-06-14. Priority posture is soon. please add to my schedule.
---------------------- Forwarded by Scott Neal/HOU/ECT on 02/15/2001 09:52 AM 
---------------------------


Ernie
02/15/2001 09:51 AM
Sent by: Scott Neal
To: Scott Neal/HOU/ECT@ECT
cc:  
Subject: Class Confirmation - Harassment Avoi",deadline_request,P0,ANSWER,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0009,ep-00000-th-010,11.826,(00-327)Approved amendment to NYMEX Platinum & Palladium | B591,"Thread brief for project B591. Owner is Jordan Miller. Due date is 2001-09-26. Priority posture is normal. TO:ALL NYMEX DIVISION MEMBERS AND MEMBER FIRMS
ALL COMEX DIVISION MEMBERS AND MEMBER FIRMS

FROM:Neal Wolkoff, Executive Vice President

SUBJECT:Approved Amendment to the NYMEX Platinum and Palladium Futures 
Contracts to Add Brink,s Inc. as an Exchange Licen",request_with_question,P1,ANSWER,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0010,ep-00000-th-011,13.635,Susan's address | T429,"Thread brief for project T429. Owner is Avery Chen. Due date is 2001-04-26. Priority posture is low. John:  Hope you, Dina and Michael are well.  As you requested I am
sending you
Susan's address:

243 Gilmour Avenue                  416-762-2047
Toronto, Ontario
M6P 3B2
Canada                                      Take care....Love Mom",informational_update,P2,ACK,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0011,ep-00000-th-012,17.445,FW: enovate consent | J168,"Thread brief for project J168. Owner is Morgan Miller. Due date is 2001-03-13. Priority posture is low. Jeff - here is the board resolution to make a cash distribution to enovate's members.  We are going to try to get this done today if possible.

Thanks - Gregg

 -----Original Message-----
From: 	j.hengtgen@pecorp.com@ENRON  
Sent:	Thursday, November 08, 2001 2",informational_update,P2,ACK,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0012,ep-00000-th-013,18.837,Technical Survey | D717,"Thread brief for project D717. Owner is Morgan Garcia. Due date is 2001-03-16. Priority posture is low. ---------------------- Forwarded by Vince J Kaminski/HOU/ECT on 11/07/2000 
05:31 PM ---------------------------
From: Shalesh Ganjoo@ENRON COMMUNICATIONS on 11/07/2000 10:03 AM
To: Vince J Kaminski/HOU/ECT@ECT, Stinson Gibner/HOU/ECT@ECT
cc: gappy@stanfordalu",informational_update,P2,ACK,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0013,ep-00000-th-014,24.686,Re: PSERC Industrial Advisory Board Meeting Invitation | R945,"Thread brief for project R945. Owner is Morgan Patel. Due date is 2001-10-18. Priority posture is normal. Vince,

I agree with Alex on this issue.

As an alternative for sponsorship.  The UT electrical engineering dept. is 
interested in sponsorship for research activities such as the one I just 
completed or as Martin performed when he was at UT (just thought tha",direct_request,P1,ANSWER,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0014,ep-00000-th-015,27.908,"Venue Details for Energy Derivatives and Weather Derivatives Course
 and Workshops | S187","Thread brief for project S187. Owner is Taylor Miller. Due date is 2001-10-13. Priority posture is low. The venue details for the courses are the following:
?
City:? Houston
Hotel:? Hyatt Regency Houston
Address:? located in the Center of Downtown Houston
1200 Louisiana
Houston, TX? 77002 USA
?
Telephone:? +1 713 654 1234
Fax:? +1 713 951 0934
?
We have?been off",informational_update,P2,ACK,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0015,ep-00000-th-016,29.708,follow up | U856,"Thread brief for project U856. Owner is Taylor Clark. Due date is 2001-04-07. Priority posture is normal. Statute of Limitations
Mime-Version: 1.0
Content-Type: text/plain; charset=us-ascii
Content-Transfer-Encoding: 7bit
X-From: Outlook-Migration-Team </O=ENRON/OU=NA/CN=RECIPIENTS/CN=EXCHMIGTEAM>
X-To: 
X-cc: 
X-bcc: 
X-Folder: \ESAGER (Non-Privileged)\Calendar
X",direct_request,P1,ANSWER,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0016,ep-00000-th-017,31.544,FW: Career Opportunities at Enron | R672,"Thread brief for project R672. Owner is Jordan Clark. Due date is 2001-03-23. Priority posture is normal. FYI re my voice mail to you. Jim

 -----Original Message-----
From: 	pincussr@nmenergy.com@ENRON  
Sent:	Wednesday, October 17, 2001 2:04 PM
To:	jderric@enron.com
Subject:	Career Opportunities at Enron



Dear Mr. Derrick:

     Les LoBaugh suggested that I co",information_request,P1,REQUEST_INFO,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0017,ep-00000-th-018,31.637,Requested information on Transport | A816,"Thread brief for project A816. Owner is Riley Miller. Due date is 2001-08-14. Priority posture is urgent. Can you please help Greg get this info.  I have to think that we have this 
info somewhere.
---------------------- Forwarded by John J Lavorato/Corp/Enron on 08/17/2000 
07:32 AM ---------------------------


Greg Couch@ECT
08/16/2000 02:08 PM
To: John J Lavor",deadline_request,P0,ANSWER,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0018,ep-00000-th-019,33.921,WebSite Link | S349,"Thread brief for project S349. Owner is Riley Brown. Due date is 2001-06-15. Priority posture is soon. ---------------------- Forwarded by Tamara Jae Black/HOU/ECT on 05/03/2001 07:26 AM ---------------------------
From:	Mark Symms/ENRON@enronXgate on 05/02/2001 05:17 PM
To:	Tamara Jae Black/HOU/ECT@ECT
cc:	 
Subject:	WebSite Link

TJ,
	Kevin has asked that we ",deadline_request,P0,ANSWER,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0019,ep-00000-th-020,36.366,follow up | O133,Thread brief for project O133. Owner is Jordan Kim. Due date is 2001-02-13. Priority posture is normal. Not included in the schedule is the $300mm of LCs expiring on 11/30.  Just so you know - but I think the decision is obvious.,request_with_question,P1,ANSWER,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0020,ep-00000-th-021,43.143,Playoff game on Wednesday | R688,"Thread brief for project R688. Owner is Morgan Clark. Due date is 2001-07-03. Priority posture is normal. Mark and Robbie, can you join me in the Diamond Seats for this Wednesday's playoff game at noon?  Let me know.
 
H. William Swanstrom
Locke Liddell & Sapp LLP
bswanstrom@lockeliddell.com <mailto:bswanstrom@lockeliddell.com>
(713) 226-1143",information_request,P1,REQUEST_INFO,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0021,ep-00000-th-022,45.174,"NGPL Backstop Agreement for Titan Land Development Company, LLC | T616","Thread brief for project T616. Owner is Jamie Brown. Due date is 2001-07-03. Priority posture is normal. Attached below is my mark-up of NGPL's draft for backstoping its expenses in 
perfroming preliminary work for a proposed interconnect between NGPL and the 
Plant.  Please review and comment.

chris
x31666",information_request,P1,REQUEST_INFO,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0022,ep-00000-th-023,45.51,MORE PLAYS | O814,"Thread brief for project O814. Owner is Taylor Shah. Due date is 2001-01-10. Priority posture is low. time to break out some of the old plays?
---------------------- Forwarded by Eric Bass/HOU/ECT on 10/18/2000 11:39 AM 
---------------------------
   
	Enron North America Corp.
	
	From:  Eric Bass                           10/18/99 06:03 PM
	

To: Timothy Bla",informational_update,P2,ACK,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0023,ep-00000-th-024,46.168,Kingsgate to Malin | L983,"Thread brief for project L983. Owner is Sam Kim. Due date is 2001-05-28. Priority posture is low. Kathy,

Attached are two files:  a mini-book of EC3952.O run for Nov-08 thru Oct-23 
and a copy of the deal in the transport model.  The file is too large to 
email.  There are two tabs:  the first contains deal terms and the second is 
a copy of the P&L sheet",informational_update,P2,ACK,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0024,ep-00000-th-025,46.787,Re: E-MAIL ADDRESS | W131,"Thread brief for project W131. Owner is Sam Clark. Due date is 2001-01-24. Priority posture is low. The word Suzanne heard is that they are moving everyone to the Enron Corp 
book in the somewhat near future.  They moved me there from EI when I 
transferred last March.

Kay


From: Barbara N Gray@ECT on 11/02/2000 10:01 AM
To: Kay Mann/Corp/Enron@Enron
cc:  ",informational_update,P2,ACK,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0025,ep-00000-th-026,46.806,WEB SITES | H924,"Thread brief for project H924. Owner is Sam Chen. Due date is 2001-08-04. Priority posture is urgent. I was trying to get on some of the USAF Base sites.  They seem to all be down.  Have they shut them off for security reasons??

MC",deadline_request,P0,ANSWER,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0026,ep-00000-th-027,47.149,FW: Things to do when the boss is out. | O554,"Thread brief for project O554. Owner is Riley Khan. Due date is 2001-08-12. Priority posture is low. -----Original Message-----
From: 	Ring, Andrea  
Sent:	Tuesday, November 20, 2001 1:11 PM
To:	Brawner, Sandra F.
Subject:	FW: Things to do when the boss is out.



 -----Original Message-----
From: 	Winckowski, Michele  
Sent:	Wednesday, October 17, 2001 4:16 ",informational_update,P2,ACK,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0027,ep-00000-th-028,47.846,Mike McConnell on eSpeak February 23! | K475,"Thread brief for project K475. Owner is Cameron Garcia. Due date is 2001-03-10. Priority posture is normal. Join Mike McConnell on eSpeak at ethink.enron.com, Wednesday, February 23 at 
10:00 a.m. Houston time!  Mike, Enron's CEO of Global Technology, will be 
answering your questions about the functions of the new Technology 
organization and Enron's e-commerce act",direct_request,P1,ANSWER,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0028,ep-00000-th-029,48.012,FW: Altrade International Contract | A195,"Thread brief for project A195. Owner is Alex Miller. Due date is 2001-09-20. Priority posture is normal. Mark, I wonder whether you will be able to help out on this. Attached is a usage agreement with a company called Altrade Energy System Corp. It is subject to Texas law -wh. I imagine is non-negotiable. Wd someone in yr group be able to look over this for Bo (B",direct_request,P1,ANSWER,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0029,ep-00000-th-030,50.091,TRV Notification:  (NG - Price P/L - 10/24/2001) | M744,"Thread brief for project M744. Owner is Jordan Khan. Due date is 2001-07-27. Priority posture is urgent. The report named: NG - Price P/L <http://trv.corp.enron.com/linkFromExcel.asp?report_cd=10&report_name=NG+-+Price+P/L&category_cd=5&category_name=FINANCIAL&toc_hide=1&sTV1=5&TV1Exp=Y&current_efct_date=10/24/2001>, published as of 10/24/2001 is now available fo",deadline_request,P0,ANSWER,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0030,ep-00000-th-031,52.599,the stage | D547,"Thread brief for project D547. Owner is Jamie Chen. Due date is 2001-06-05. Priority posture is low. ---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/09/2001 
09:26 AM ---------------------------


""Jeff Smith"" <jsmith@austintx.com> on 02/08/2001 07:08:03 PM
To: <Phillip.K.Allen@enron.com>
cc:  
Subject: the stage


I am sending the Dr. a con",document_delivery,P2,ACK,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0031,ep-00000-th-032,52.719,Direct Access | J314,"Thread brief for project J314. Owner is Taylor Shah. Due date is 2001-08-18. Priority posture is normal. Two different sources have heard that Governor Davis is preparing to
order the CPUC to implement the provision in ABX 1 that would suspend
the authority of parties to enter into direct access contracts.
According to these sources, the intent of the Administrat",direct_request,P1,ANSWER,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0032,ep-00000-th-033,53.502,Re: 352092 | J962,"Thread brief for project J962. Owner is Alex Garcia. Due date is 2001-02-10. Priority posture is soon. can you reverify the deal ID.  Is this the EOL #, EOL number are above 490000 
right now.  Thanks.
PL",deadline_request,P0,ANSWER,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0033,ep-00000-th-034,54.43,FERC press release -- CA Action | Z429,"Thread brief for project Z429. Owner is Avery Chen. Due date is 2001-09-13. Priority posture is soon. http://www.ferc.fed.us/news1/pressreleases/calpress.pdf

Folks-
Above is the link to the FERC press release issued today regarding the
energy situation in California.

Thanks,
Delaney",deadline_request,P0,ANSWER,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0034,ep-00000-th-035,55.885,KCS Resources nom - April 1 | G787,"Thread brief for project G787. Owner is Avery Kim. Due date is 2001-10-08. Priority posture is normal. The nom for KCS Resources (deal # 125822) at meter # 9658 has been revised from 7,129 to 5,500.

Bob",information_request,P1,REQUEST_INFO,none,,0,1,35
ep-00000,emp-003,ep-00000-m-0035,ep-00000-th-033,57.088,Re: follow up,"Quick follow-up on this thread. As discussed earlier, please handle this this week. Need a response and next step. For those who did not have time to watch the third and final presidential
debate Tuesday night, I've prepared this transcript of what was said:

Jim Lehrer:
Welcome to the third presidential debate between Vice President Al Gore and
Gov.  George W.  Bush. The ",direct_request,P1,ANSWER,project_code,J962,1,0,35
