message_id,recommended_priority,priority_grade,recommended_reply_type,reply_grade,info_sufficient,rationale
ep-00000-m-0000,P2,good,REQUEST_INFO,good,0,Asks for current status/next step; you likely need an update from owner. Not urgent given old due date.
ep-00000-m-0001,P2,bad,NONE,bad,1,Explicit FYI with no action needed; should be routine and may not require a reply.
ep-00000-m-0002,P0,good,REQUEST_INFO,bad,0,"Urgent go/no-go decision needed; unless you can decide immediately, you should ask for fallback details/impact to decide."
ep-00000-m-0003,P1,good,REQUEST_INFO,good,0,Requests a recommendation but provides no options/context; need details to make a reasoned choice.
ep-00000-m-0004,P0,good,REQUEST_INFO,bad,0,"Urgent go/no-go decision; without fallback specifics and risks, you need clarifying info before answering."
ep-00000-m-0005,P1,good,REQUEST_INFO,bad,0,They need specific numbers or location; you can’t answer without knowing which data set or where it lives.
ep-00000-m-0006,P2,bad,NONE,bad,1,Pure FYI with no action needed; P1/ANSWER is unnecessary.
ep-00000-m-0007,P2,bad,NONE,bad,1,"Minor change, no action needed; should be routine FYI with no reply."
ep-00000-m-0008,P1,good,REQUEST_INFO,bad,0,Review requires access to the draft; need the document/link or context before you can respond substantively.
ep-00000-m-0009,P0,good,ANSWER,good,1,Marked urgent with a specific deadline; replying to confirm/coordinate is appropriate.
ep-00000-m-0010,P1,good,ANSWER,borderline,1,"Actionable request for recommendation; you can propose an MVP scope cut without more info, though clarifying questions could help."
ep-00000-m-0011,P2,bad,ACK,bad,1,Pure FYI progress update; no action requested. P1/ANSWER unnecessary; simple acknowledgment or no reply fits.
ep-00000-m-0012,P0,good,REQUEST_INFO,borderline,0,"Urgent sign-off needed, but you can’t approve without seeing terms/authority; should request contract/summary and confirm approver."
ep-00000-m-0013,P0,good,REQUEST_INFO,borderline,0,"Urgent approval requested, but revised plan not provided; need the plan/details to approve or route to correct approver."
ep-00000-m-0014,P2,borderline,ANSWER,bad,1,"They’re asking who owns next action and timeline; you should answer/assign, not request info. Priority could be P1 if blocking."
ep-00000-m-0015,P2,bad,NONE,bad,1,Pure FYI with explicit no action needed; not important/urgent. No reply required.
ep-00000-m-0016,P2,bad,NONE,bad,1,Visibility-only update; no action requested. Should be routine and can be left without reply.
ep-00000-m-0017,P2,bad,NONE,bad,1,"FYI progress note with later follow-up promised; no action requested, so P2 and no reply."
ep-00000-m-0018,P1,good,REQUEST_INFO,bad,0,"Action requested to send numbers, but data not provided; need clarification/location before answering."
ep-00000-m-0019,P0,good,REQUEST_INFO,borderline,0,"Urgent go/no-go decision needed by deadline; without fallback details, must request info or options to decide."
ep-00000-m-0020,P2,bad,ACK,bad,1,Pure FYI progress note; not actionable. A brief acknowledgment (or no reply) fits better than an ANSWER.
ep-00000-m-0021,P0,good,REQUEST_INFO,bad,0,"Urgent confirmation requested, but numbers aren’t provided. Need the metrics/narrative or where to find them before confirming."
ep-00000-m-0022,P1,good,REQUEST_INFO,bad,0,"Asked to review a draft, but draft/link not included. Need the document to provide edits/approval."
ep-00000-m-0023,P0,good,REQUEST_INFO,bad,0,Approval needed but revised plan isn’t included. Must request the plan/details to approve.
ep-00000-m-0024,P1,bad,ANSWER,bad,0,"They’re asking for status/next step; should answer if you know. If not, request internal context, not from sender."
ep-00000-m-0025,P2,bad,NONE,bad,1,Message is FYI with no action needed; not important/urgent and doesn’t require a reply.
ep-00000-m-0026,P2,bad,NONE,bad,1,FYI only and explicitly says no action needed; P1/ANSWER is unnecessary.
ep-00000-m-0027,P1,good,ACK,borderline,0,Action requested this week; priority P1 fits. But you can’t ‘ANSWER’ without doing work; at least acknowledge/confirm plan.
ep-00000-m-0028,P0,good,REQUEST_INFO,borderline,0,Blocking incident needs urgent decision; P0 fits. But you need details/options to make go/no-go; request info or escalate.
ep-00000-m-0029,P1,bad,ANSWER,bad,0,"They asked for status/next step; should be handled soon (P1). If you don’t know status, request info; draft doesn’t answer."
ep-00000-m-0030,P2,good,NONE,borderline,1,"Sender says no action required unless issues; acknowledgment optional, no reply needed."
ep-00000-m-0031,P2,bad,NONE,bad,1,Pure FYI with no action needed; not important/urgent and doesn’t warrant an ANSWER.
ep-00000-m-0032,P2,good,NONE,borderline,1,"FYI schedule change; acknowledgment optional, but no response required."
ep-00000-m-0033,P2,bad,NONE,bad,1,FYI progress update with later follow-up; routine and doesn’t require an ANSWER.
ep-00000-m-0034,P1,borderline,ANSWER,bad,1,"They asked who owns next action and timeline; you should answer/assign, not request info."
ep-00000-m-0035,P1,good,ANSWER,bad,1,"Sender asks what’s blocked/needed; you should answer with blockers/asks, not request info."
ep-00000-m-0036,P2,good,ANSWER,bad,1,They want status/next step; should provide update rather than ask for more info.
ep-00000-m-0037,P2,good,ACK,good,1,FYI schedule change; acknowledgment is appropriate.
ep-00000-m-0038,P1,good,REQUEST_INFO,borderline,0,They reference a ‘requested action’ but don’t specify it; need clarification or details to proceed.
ep-00000-m-0039,P1,good,REQUEST_INFO,bad,0,They ask for specific numbers but none provided; you must ask which dataset/metrics or where to pull from.
ep-00000-m-0040,P0,good,REQUEST_INFO,borderline,0,"Urgent deadline needs prompt handling, but you can’t actually sign/approve without authority; should request contract/terms and confirm signer."
ep-00000-m-0041,P2,bad,REQUEST_INFO,borderline,0,Due date is far away; not time-sensitive. Need plan details/context to approve; request info rather than generic answer.
ep-00000-m-0042,P2,good,ANSWER,bad,0,"They asked for status/next step; you should answer with current status if known, not ask for info unless you lack project context."
ep-00000-m-0043,P2,good,ANSWER,bad,0,Status request should be answered directly with update/next step; requesting info is only needed if you truly don’t have access.
ep-00000-m-0044,P2,good,ANSWER,bad,0,Owner/timeline question can be answered by stating owner and expected dates; requesting info is unnecessary unless you lack records.
ep-00000-m-0045,P0,good,REQUEST_INFO,borderline,0,"Urgent deadline warrants P0, but “sign-off” needs confirmation/authority; reply should clarify or explicitly approve, not vague ANSWER."
ep-00000-m-0046,P2,bad,REQUEST_INFO,good,0,"Due date is long past; not urgent. Need options/context to recommend, so REQUEST_INFO fits."
ep-00000-m-0047,P2,bad,NONE,bad,1,Explicitly FYI and no action needed; should be low priority and no reply required.
ep-00000-m-0048,P2,bad,REQUEST_INFO,borderline,1,"Due date far out; routine. Can assess risks without more info, so REQUEST_INFO may be unnecessary."
ep-00000-m-0049,P2,bad,REQUEST_INFO,bad,0,"“Requested action” unspecified; need clarification on what to do. Also due date long past, so not P1."
ep-00000-m-0050,P1,good,ANSWER,bad,0,"They asked for status/next step; you should answer with known status or commit to a next step, not request info."
ep-00000-m-0051,P1,good,ANSWER,bad,0,A status check warrants an update/next step. REQUEST_INFO is unnecessary unless you truly lack project context.
ep-00000-m-0052,P1,good,ANSWER,bad,0,Same status/next-step request; should provide update or timeline. REQUEST_INFO doesn’t fit the ask.
ep-00000-m-0053,P1,good,ANSWER,bad,0,They want current status and next step on M367; respond with update/plan rather than asking for more info.
ep-00000-m-0054,P1,good,REQUEST_INFO,borderline,0,"Need the actual numbers/location to send; if you don’t have them, request specifics. Otherwise answer with link/data."
ep-00000-m-0055,P1,good,REQUEST_INFO,borderline,0,Actionable this week. But you likely need to ask what “requested numbers” are or where to find them before answering.
ep-00000-m-0056,P2,borderline,ANSWER,bad,0,They asked for status/next step; you should answer with current status. No need to request info from them.
ep-00000-m-0057,P1,good,ANSWER,bad,0,Direct status request; you should provide status/next step rather than asking them for more info.
ep-00000-m-0058,P2,bad,REQUEST_INFO,borderline,0,"Deadline is in 2001, not urgent now. You can’t confirm numbers without the metrics; may need details/source."
ep-00000-m-0059,P2,bad,REQUEST_INFO,borderline,0,Same: ancient deadline makes it non-urgent. Confirming final deck numbers requires the actual numbers/context first.
ep-00000-m-0060,P1,bad,REQUEST_INFO,bad,0,"Due this week, not same-day urgent. Need the actual final numbers; can’t confirm without data."
ep-00000-m-0061,P1,good,ANSWER,bad,1,They asked for status/next step; no clarification needed—provide update rather than request info.
ep-00000-m-0062,P1,good,ANSWER,bad,1,Status/next step request is answerable; requesting info is unnecessary without indicating what’s missing.
ep-00000-m-0063,P2,bad,NONE,bad,1,"“Sharing in case useful” reads FYI; likely no reply needed, not P1."
ep-00000-m-0064,P1,good,ANSWER,good,1,Actionable request to review/approve this week; replying to confirm and proceed is appropriate.
ep-00000-m-0065,P1,good,REQUEST_INFO,borderline,0,Action needed this week; not urgent. You can’t approve/edit without seeing the draft; should request the latest draft/link.
ep-00000-m-0066,P1,good,REQUEST_INFO,borderline,0,Same as prior: needs review/approval but draft not provided; request document before answering substantively.
ep-00000-m-0067,P1,good,ANSWER,bad,1,They asked who owns next action and timeline; you should answer/clarify ownership rather than request info.
ep-00000-m-0068,P0,good,REQUEST_INFO,borderline,0,Same-day approval request is urgent. But you can’t approve without the revised plan; request it or details immediately.
ep-00000-m-0069,P0,good,REQUEST_INFO,borderline,0,Contract sign-off is urgent. Need the final terms/document to approve; request the contract or key changes before answering.
ep-00000-m-0070,P2,good,NONE,borderline,1,Sender says no action required; acknowledgement optional. P2 fits; reply not necessary unless you have comments.
ep-00000-m-0071,P2,good,NONE,borderline,1,Purely for reference with no action requested. P2 is right; ACK is optional and not required.
ep-00000-m-0072,P2,bad,NONE,bad,1,This is an FYI progress note; not urgent/actionable. P1 and ANSWER over-escalate; no reply needed.
ep-00000-m-0073,P2,bad,NONE,bad,1,Looped in for visibility only. Should be P2 and typically no response; ANSWER implies action where none requested.
ep-00000-m-0074,P2,bad,NONE,bad,1,Duplicate FYI visibility message. Not important/urgent; no reply needed. P1/ANSWER is unnecessary.
ep-00000-m-0075,P2,bad,NONE,bad,1,Pure FYI progress update; no action requested. P1/ANSWER unnecessary.
ep-00000-m-0076,P1,good,ANSWER,bad,0,They asked for a recommendation; you should answer with a proposed cut list. Clarifications optional but not required.
ep-00000-m-0077,P1,good,ANSWER,good,0,"Action requested (review/approve) this week; P1 and ANSWER fit, though you may need the draft to proceed."
ep-00000-m-0078,P2,bad,NONE,bad,1,Explicitly says no action needed; should be low priority and no reply required.
