message_id,recommended_priority,priority_grade,recommended_reply_type,reply_grade,info_sufficient,rationale
ep-00000-m-0000,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0001,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0002,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0003,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0004,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0005,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0006,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0007,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0008,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0009,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0010,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0011,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0012,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0013,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0014,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0015,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0016,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0017,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0018,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0019,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0020,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0021,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0022,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0023,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0024,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0025,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0026,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0027,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0028,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0029,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0030,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0031,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0032,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0033,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0034,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0035,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0036,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0037,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0038,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0039,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0040,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0041,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0042,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0043,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0044,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0045,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0046,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0047,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0048,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0049,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0050,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0051,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0052,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0053,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0054,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0055,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0056,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0057,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0058,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0059,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0060,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0061,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0062,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0063,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0064,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0065,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0066,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0067,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0068,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0069,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0070,P2,good,NONE,good,1,Clearly FYI/reference with no action requested; optional review only if issues spotted.
ep-00000-m-0071,P2,good,NONE,good,1,Sender says no action required; filing without reply is reasonable.
ep-00000-m-0072,P2,good,NONE,good,1,Pure FYI progress update with future follow-up promised; no response needed.
ep-00000-m-0073,P2,good,NONE,good,1,"Looped in for visibility only; no ask, so no reply required."
ep-00000-m-0074,P2,good,NONE,good,1,Duplicate FYI visibility note; no action or reply needed.
ep-00000-m-0075,P2,good,NONE,good,1,FYI with thanks but no request; can be left without reply.
ep-00000-m-0076,P1,good,REQUEST_INFO,good,0,Actionable request due this week; needs scope/goals/constraints to recommend cuts and MVP.
ep-00000-m-0077,P1,good,REQUEST_INFO,good,0,"Needs the draft/link and review instructions; deadline vague, so clarification appropriate."
ep-00000-m-0078,P2,good,NONE,good,1,Explicitly says no action needed; FYI minor change can be filed.
ep-00000-m-0079,P1,good,REQUEST_INFO,good,0,Risk assessment requested this week but lacks project context and decision details; must ask for inputs.
ep-00000-m-0080,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0081,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0082,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0083,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0084,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0085,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0086,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0087,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0088,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0089,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0090,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0091,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0092,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0093,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0094,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0095,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0096,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0097,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0098,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0099,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0100,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0101,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0102,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0103,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0104,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0105,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0106,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0107,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0108,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0109,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0110,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0111,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0112,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0113,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0114,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0115,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0116,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0117,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0118,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0119,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0120,P2,good,NONE,good,1,Pure FYI progress note with no ask; can be read later and no response required.
ep-00000-m-0121,P2,good,NONE,good,1,Explicitly says no action needed; routine visibility update.
ep-00000-m-0122,P2,good,NONE,good,1,Duplicate FYI/no-action update; no reply needed.
ep-00000-m-0123,P2,good,NONE,good,1,Looped in for visibility and states no action needed; no response required.
ep-00000-m-0124,P1,good,REQUEST_INFO,good,0,Action requested within a week but unspecified; need details to proceed and confirm.
ep-00000-m-0125,P1,good,REQUEST_INFO,good,0,Time-bounded request but missing the actual task; clarification required.
ep-00000-m-0126,P1,good,REQUEST_INFO,good,0,Still a request to act this week without specifics; must ask what to do and where to confirm.
ep-00000-m-0127,P0,good,REQUEST_INFO,good,0,Urgent same-day contract sign-off; need document/process details immediately to execute.
ep-00000-m-0128,P1,good,REQUEST_INFO,good,0,Needs recommendation this week but options/context absent; must request inputs before advising.
ep-00000-m-0129,P0,good,REQUEST_INFO,good,0,Blocking incident with same-day go/no-go; decision impossible without fallback details and impact.
ep-00000-m-0130,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0131,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0132,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0133,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0134,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0135,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0136,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0137,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0138,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0139,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0140,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0141,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0142,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0143,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0144,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0145,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0146,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0147,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0148,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0149,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0150,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0151,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0152,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0153,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0154,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0155,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0156,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0157,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0158,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0159,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0160,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0161,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0162,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0163,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0164,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0165,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0166,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0167,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0168,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0169,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0170,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0171,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0172,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0173,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0174,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0175,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0176,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0177,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0178,P2,bad,NONE,bad,0,batch_missing
ep-00000-m-0179,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0000,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0001,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0002,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0003,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0004,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0005,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0006,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0007,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0008,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0009,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0010,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0011,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0012,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0013,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0014,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0015,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0016,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0017,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0018,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0019,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0020,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0021,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0022,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0023,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0024,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0025,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0026,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0027,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0028,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0029,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0030,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0031,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0032,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0033,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0034,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0035,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0036,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0037,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0038,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0039,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0040,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0041,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0042,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0043,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0044,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0045,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0046,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0047,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0048,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0049,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0050,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0051,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0052,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0053,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0054,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0055,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0056,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0057,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0058,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0059,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0060,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0061,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0062,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0063,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0064,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0065,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0066,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0067,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0068,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0069,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0070,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0071,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0072,P2,bad,NONE,bad,0,batch_missing
ep-00001-m-0073,P2,bad,NONE,bad,0,batch_missing
