message_id,thread_id,arrival_min,process_end_min,gold_priority,pred_priority,gold_reply_type,pred_reply_type,pred_action_summary,pred_facts_used,pred_draft_reply,pred_scratchpad_update,needs_memory,gold_required_key,gold_required_value,invalid_output,api_error,input_tokens,output_tokens,scratchpad_chars_after,priority_acc,reply_acc,fact_recall,hallucination,latency_min,on_time,quality_score,episode_id,n_threads
ep-00000-m-0000,ep-00000-th-001,2.648,2.998,P1,P1,REQUEST_INFO,REQUEST_INFO,"Ask the sender/owner for the current status and immediate next step for project H328, referencing the due date and owner; update scratchpad with project code and key metadata.","[""Email subject: Status check | H328"", ""Project code: H328"", ""Owner: Riley Brown"", ""Due date: 2001-11-04"", ""Sender asks: current status and next step""]","Hi — thanks for flagging. For project H328 (owner: Riley Brown, due 2001-11-04), can you share the current status (e.g., on track/at risk/blocked) and the immediate next step + owner/date? If there are any blockers, please include what’s needed to unblock.",thread ep-00000-th-001: project H328; owner Riley Brown; due 2001-11-04; status/next-step requested.,0,none,nan,0,0,504,211,100,1.0,1.0,1.0,0.0,0.3500000000000001,1.0,1.0,ep-00000,50
ep-00000-m-0001,ep-00000-th-002,3.803,4.153,P2,P2,ACK,NONE,No reply needed; log project details for future reference.,"[""Email states: Project D110"", ""Owner Morgan Garcia"", ""Due 2001-11-25"", ""Minor change; no action needed; FYI only""]",,thread ep-00000-th-002: project D110; owner Morgan Garcia; due 2001-11-25; FYI minor change; no action needed.,0,none,nan,0,0,538,113,211,1.0,0.0,1.0,0.0,0.34999999999999964,1.0,0.7,ep-00000,50
ep-00000-m-0002,ep-00000-th-003,4.819,5.169,P0,P0,ANSWER,ANSWER,"Respond with a go/no-go decision request handling: acknowledge blocking incident for project Y997, ask for immediate fallback details/impact, propose a quick decision call, and set expectation to decide by 2001-05-24.","[""Email subject indicates urgent blocking incident"", ""Project code: Y997"", ""Owner: Avery Khan"", ""Due/action needed by 2001-05-24"", ""Blocking issue preventing progress; needs go/no-go decision on fallback option""]","Subject: Re: [URGENT] Blocking incident | Y997

Thanks for looping me in. I understand Y997 is blocked and we need a go/no-go on the fallback option by 2001-05-24.

I can make the call today—please send (or paste here) the fallback option details and the tradeoffs:
- What is the fallback approach?
- Impact on scope/quality/performance
- Impact on schedule (best/worst case)
- Any customer/user impact and risks
- What you recommend (go/no-go) and why

If it’s faster, I’m available for a 15-minute decision sync; propose two times that work for you and I’ll confirm. Once I have the above, I’ll reply with a clear go/no-go and any conditions.",thread ep-00000-th-003: project Y997; owner Avery Khan; due 2001-05-24; urgent blocking incident; needs go/no-go decision on fallback option.,0,none,nan,0,0,595,334,353,1.0,1.0,1.0,0.0,0.34999999999999964,1.0,1.0,ep-00000,50
ep-00000-m-0003,ep-00000-th-004,5.53,5.88,P1,P1,ANSWER,REQUEST_INFO,Request the specific options under consideration and decision criteria so a recommendation with tradeoffs can be made for project D248; offer a default framework if they want a quick call.,"[""Email: Project code D248"", ""Email: Owner Taylor Chen"", ""Email: Due date 2001-06-14"", ""Email asks for a recommendation between options with 1-2 key tradeoffs""]","Hi Taylor — I can recommend a path, but I’ll need the specific options on the table (Option A vs B, etc.) and the primary decision criteria (e.g., timeline, cost, risk, performance, maintainability). 

If you can send:
1) A 1–2 sentence description of each option
2) Any hard constraints (deadline, budget, dependencies)
3) What “success” looks like for D248

…I’ll reply with a clear recommendation and 1–2 key tradeoffs.",thread ep-00000-th-004: project D248; owner Taylor Chen; due 2001-06-14; decision recommendation requested; need options/criteria to advise.,0,none,nan,0,0,628,260,494,1.0,0.0,1.0,0.0,0.34999999999999964,1.0,0.7,ep-00000,50
ep-00000-m-0004,ep-00000-th-005,6.529,6.879,P0,P0,ANSWER,REQUEST_INFO,"Urgent: respond to blocking incident for project H783; request the minimum details needed to make a go/no-go decision on the fallback option by 2001-04-15, and offer an interim default if no response.","[""Email states project code H783"", ""Owner: Taylor Brown"", ""Due/action needed by 2001-04-15"", ""Blocking issue preventing progress; needs go/no-go decision on fallback option"", ""Thread id ep-00000-th-005 is new (not in scratchpad)""]","Subject: Re: [URGENT] Blocking incident | H783

I can make the go/no-go call, but I need a few specifics to decide quickly for H783 (due 2001-04-15):

1) What is the primary path blocked by (root cause + current status)?
2) What exactly is the fallback option (scope/behavior differences)?
3) Impact of fallback: user/customer impact, data integrity risk, and any compliance/security concerns.
4) Effort/time to implement fallback vs. time to unblock primary path.
5) Reversibility: can we switch back later without major rework?

If you can send a 3–5 bullet summary of the above, I’ll reply with a go/no-go decision immediately.

If I don’t hear back in time, my default is: GO with fallback only if it’s reversible and low risk to data/security; otherwise NO-GO and we escalate to unblock the primary path.
",thread ep-00000-th-005: project H783; owner Taylor Brown; due 2001-04-15; urgent blocking incident; needs go/no-go decision on fallback option; awaiting details to decide.,0,none,nan,0,0,668,393,666,1.0,0.0,1.0,0.0,0.34999999999999964,1.0,0.7,ep-00000,50
ep-00000-m-0005,ep-00000-th-006,7.813,8.163,P1,P1,ANSWER,REQUEST_INFO,Ask Casey Patel which specific numbers are needed and where to send them; offer to share link/location if they already exist. Record project code K525 in scratchpad for this thread.,"[""Email thread anchor states: Project K525"", ""Owner: Casey Patel"", ""Due date: 2001-07-20"", ""Request: send the requested numbers or point to where they live to finish the update"", ""Timing: please handle this week""]","Hi Casey — can you confirm which specific numbers you need for the update (metrics/fields and the reporting period), and your preferred format (sheet/link/email)? If they already exist in a doc/dashboard, please share the location you’re using and I’ll point you to the exact table/tab (or send the extract).",thread ep-00000-th-006: project K525; owner Casey Patel; due 2001-07-20; request to send requested numbers / point to location; handle this week; need clarification on which numbers + format.,0,none,nan,0,0,708,235,858,1.0,0.0,1.0,0.0,0.35000000000000053,1.0,0.7,ep-00000,50
ep-00000-m-0006,ep-00000-th-007,9.629,9.979,P2,P2,ACK,NONE,Log as FYI update for project V637; no response needed unless you want to acknowledge receipt.,"[""Email states: Project V637, owner Jordan Clark, due 2001-11-24, minor change, no action needed.""]",,thread ep-00000-th-007: project V637; owner Jordan Clark; due 2001-11-24; FYI minor change; no action needed.,0,none,nan,0,0,746,118,968,1.0,0.0,1.0,0.0,0.34999999999999964,1.0,0.7,ep-00000,50
ep-00000-m-0007,ep-00000-th-008,11.449,11.799,P2,P2,ACK,NONE,Log as FYI minor change for project G364; no response required.,"[""Email states: Project G364, owner Morgan Brown, due 2001-07-01"", ""Email indicates minor change and explicitly says no action needed right now""]",,thread ep-00000-th-008: project G364; owner Morgan Brown; due 2001-07-01; FYI minor change; no action needed.,0,none,nan,0,0,779,119,1078,1.0,0.0,1.0,0.0,0.34999999999999964,1.0,0.7,ep-00000,50
ep-00000-m-0008,ep-00000-th-009,12.876,13.225999999999999,P1,P1,ANSWER,REQUEST_INFO,Acknowledge request to review latest draft for project L479 and ask for the draft/link plus deadline for feedback; commit to respond this week once received.,"[""Email thread ep-00000-th-009: Project L479"", ""Owner: Sam Lee"", ""Due date: 2001-03-26"", ""Request: review latest draft and reply with edits or approval to proceed"", ""Timing: handle this week""]","Hi Sam — happy to review. Can you please send the latest draft (or a link) and let me know if you have a specific deadline this week for feedback/approval? Once I have the doc, I’ll review and reply with edits or approval to proceed.",thread ep-00000-th-009: project L479; owner Sam Lee; due 2001-03-26; request review latest draft + provide edits/approval; handle this week; need draft/link + specific feedback deadline.,0,none,nan,0,0,820,220,1265,1.0,0.0,1.0,0.0,0.34999999999999964,1.0,0.7,ep-00000,50
ep-00000-m-0009,ep-00000-th-010,13.561,13.911,P0,P0,ANSWER,REQUEST_INFO,"Urgent: confirm final board-deck numbers for project C588 by 2001-06-02. Request the specific metrics list, latest draft/deck link, source-of-truth dataset, and any last-known numbers so you can validate/confirm quickly.","[""Email thread ep-00000-th-010: project code C588"", ""Owner: Cameron Clark"", ""Due date/action needed by 2001-06-02"", ""Request: confirm final numbers for board deck (key metrics + narrative) before distribution; marked urgent""]","Hi Cameron — I can confirm the final numbers for the deck, but I need the latest deck/draft and the exact list of “key metrics” you want locked.

Can you please send:
1) Link/attachment to the latest board deck version to be distributed
2) The source-of-truth file/dashboard (and as-of date/time) the numbers should match
3) The specific metrics/tables to confirm (and any last-known numbers currently in the deck)
4) Any rounding/format rules and whether narrative text needs updating to match the final figures

Once I have those, I’ll validate and reply with a confirmed set (or flagged discrepancies) today/tomorrow ahead of 2001-06-02.",thread ep-00000-th-010: project C588; owner Cameron Clark; due 2001-06-02; urgent request to confirm final board deck numbers (key metrics + narrative) before distribution; need latest deck + metrics list + source-of-truth to proceed.,0,none,nan,0,0,883,352,1500,1.0,0.0,1.0,0.0,0.34999999999999964,1.0,0.7,ep-00000,50
