episode_id,employee_id,message_id,thread_id,arrival_min,subject,body,archetype,gold_priority,gold_reply_type,gold_required_key,gold_required_value,needs_memory,is_anchor_message,n_threads
ep-00000,emp-001,ep-00000-m-0000,ep-00000-th-001,2.648,Status check | H328,"Thread anchor. Project H328. Owner Riley Brown. Due 2001-11-04. Question: what is the current status, and what is the next step? Sharing in case useful.",information_request,P1,REQUEST_INFO,none,,0,1,50
ep-00000,emp-001,ep-00000-m-0001,ep-00000-th-002,3.803,Heads up | D110,Thread anchor. Project D110. Owner Morgan Garcia. Due 2001-11-25. FYI: there is a minor change; no action needed from you right now. Sharing in case useful.,informational_update,P2,ACK,none,,0,1,50
ep-00000,emp-001,ep-00000-m-0002,ep-00000-th-003,4.819,[URGENT] Blocking incident | Y997,Thread anchor. Project Y997. Owner Avery Khan. Due 2001-05-24. A blocking issue is preventing progress; need a go/no-go decision on the fallback option. Need action by 2001-05-24. This is urgent. Looping you in for visibility.,deadline_request,P0,ANSWER,none,,0,1,50
ep-00000,emp-001,ep-00000-m-0003,ep-00000-th-004,5.53,Decision recommendation | D248,Thread anchor. Project D248. Owner Taylor Chen. Due 2001-06-14. Which option should we choose and why? Please recommend a path with 1-2 key tradeoffs. Please take a look and reply with your recommendation. Noted for reference.,request_with_question,P1,ANSWER,none,,0,1,50
ep-00000,emp-001,ep-00000-m-0004,ep-00000-th-005,6.529,[URGENT] Blocking incident | H783,Thread anchor. Project H783. Owner Taylor Brown. Due 2001-04-15. A blocking issue is preventing progress; need a go/no-go decision on the fallback option. Need action by 2001-04-15. This is urgent. Thanks.,deadline_request,P0,ANSWER,none,,0,1,50
ep-00000,emp-001,ep-00000-m-0005,ep-00000-th-006,7.813,Send requested data | K525,Thread anchor. Project K525. Owner Casey Patel. Due 2001-07-20. Please send the requested numbers (or point me to where they live) so I can finish the update. Please handle this this week. Noted for reference.,direct_request,P1,ANSWER,none,,0,1,50
ep-00000,emp-001,ep-00000-m-0006,ep-00000-th-007,9.629,Heads up | V637,Thread anchor. Project V637. Owner Jordan Clark. Due 2001-11-24. FYI: there is a minor change; no action needed from you right now. Sharing in case useful.,informational_update,P2,ACK,none,,0,1,50
ep-00000,emp-001,ep-00000-m-0007,ep-00000-th-008,11.449,Heads up | G364,Thread anchor. Project G364. Owner Morgan Brown. Due 2001-07-01. FYI: there is a minor change; no action needed from you right now. Thanks.,informational_update,P2,ACK,none,,0,1,50
ep-00000,emp-001,ep-00000-m-0008,ep-00000-th-009,12.876,Review and respond | L479,Thread anchor. Project L479. Owner Sam Lee. Due 2001-03-26. Please review the latest draft and reply with any edits or approval to proceed. Please handle this this week. Thanks.,direct_request,P1,ANSWER,none,,0,1,50
ep-00000,emp-001,ep-00000-m-0009,ep-00000-th-010,13.561,[URGENT] Board deck numbers | C588,Thread anchor. Project C588. Owner Cameron Clark. Due 2001-06-02. Please confirm the final numbers for the deck (key metrics + narrative) before distribution. Need action by 2001-06-02. This is urgent. Thanks.,deadline_request,P0,ANSWER,none,,0,1,50
ep-00000,emp-001,ep-00000-m-0010,ep-00000-th-011,13.958,Scope tradeoff | H858,"Thread anchor. Project H858. Owner Casey Clark. Due 2001-12-06. If we need to cut scope, what would you remove first? Please recommend a minimal viable plan. Please take a look and reply with your recommendation. Noted for reference.",request_with_question,P1,ANSWER,none,,0,1,50
ep-00000,emp-001,ep-00000-m-0011,ep-00000-th-012,16.729,FYI update | L665,Thread anchor. Project L665. Owner Sam Clark. Due 2001-12-12. FYI: we made progress and will follow up with a fuller update later. Best.,informational_update,P2,ACK,none,,0,1,50
ep-00000,emp-001,ep-00000-m-0012,ep-00000-th-013,17.625,[URGENT] Contract signature | Z564,Thread anchor. Project Z564. Owner Jordan Miller. Due 2001-10-19. Need sign-off on the final contract terms so we can execute before the deadline. Need action by 2001-10-19. This is urgent. Regards.,deadline_request,P0,ANSWER,none,,0,1,50
ep-00000,emp-001,ep-00000-m-0013,ep-00000-th-014,18.168,[URGENT] Approval needed | A552,Thread anchor. Project A552. Owner Jamie Khan. Due 2001-03-22. Need your approval on the revised plan so we can proceed without slipping the due date. Need action by 2001-03-22. This is urgent. Regards.,deadline_request,P0,ANSWER,none,,0,1,50
ep-00000,emp-001,ep-00000-m-0014,ep-00000-th-015,20.331,Owner clarification | K761,"Thread anchor. Project K761. Owner Casey Kim. Due 2001-07-10. Question: who owns the next action here, and what is the expected timeline? Regards.",information_request,P1,REQUEST_INFO,none,,0,1,50
ep-00000,emp-001,ep-00000-m-0015,ep-00000-th-016,21.408,Heads up | G897,Thread anchor. Project G897. Owner Taylor Miller. Due 2001-12-10. FYI: there is a minor change; no action needed from you right now. Sharing in case useful.,informational_update,P2,ACK,none,,0,1,50
ep-00000,emp-001,ep-00000-m-0016,ep-00000-th-017,27.103,Heads up | F248,Thread anchor. Project F248. Owner Morgan Chen. Due 2001-11-02. FYI: there is a minor change; no action needed from you right now. Looping you in for visibility.,informational_update,P2,ACK,none,,0,1,50
ep-00000,emp-001,ep-00000-m-0017,ep-00000-th-018,31.534,FYI update | P592,Thread anchor. Project P592. Owner Riley Patel. Due 2001-07-09. FYI: we made progress and will follow up with a fuller update later. Best.,informational_update,P2,ACK,none,,0,1,50
ep-00000,emp-001,ep-00000-m-0018,ep-00000-th-019,32.575,Send requested data | X506,Thread anchor. Project X506. Owner Riley Patel. Due 2001-02-24. Please send the requested numbers (or point me to where they live) so I can finish the update. Please handle this this week. Regards.,direct_request,P1,ANSWER,none,,0,1,50
ep-00000,emp-001,ep-00000-m-0019,ep-00000-th-020,37.668,[URGENT] Blocking incident | O866,Thread anchor. Project O866. Owner Jordan Clark. Due 2001-02-10. A blocking issue is preventing progress; need a go/no-go decision on the fallback option. Need action by 2001-02-10. This is urgent. Thanks.,deadline_request,P0,ANSWER,none,,0,1,50
ep-00000,emp-001,ep-00000-m-0020,ep-00000-th-021,40.04,FYI update | I394,Thread anchor. Project I394. Owner Jordan Garcia. Due 2001-10-06. FYI: we made progress and will follow up with a fuller update later. Noted for reference.,informational_update,P2,ACK,none,,0,1,50
ep-00000,emp-001,ep-00000-m-0021,ep-00000-th-022,44.843,[URGENT] Board deck numbers | O994,Thread anchor. Project O994. Owner Casey Lee. Due 2001-12-06. Please confirm the final numbers for the deck (key metrics + narrative) before distribution. Need action by 2001-12-06. This is soon. Best.,deadline_request,P0,ANSWER,none,,0,1,50
ep-00000,emp-001,ep-00000-m-0022,ep-00000-th-023,46.082,Review and respond | H750,Thread anchor. Project H750. Owner Taylor Chen. Due 2001-05-22. Please review the latest draft and reply with any edits or approval to proceed. Please handle this this week. Looping you in for visibility.,direct_request,P1,ANSWER,none,,0,1,50
ep-00000,emp-001,ep-00000-m-0023,ep-00000-th-024,49.6,[URGENT] Approval needed | D376,Thread anchor. Project D376. Owner Taylor Chen. Due 2001-02-17. Need your approval on the revised plan so we can proceed without slipping the due date. Need action by 2001-02-17. This is urgent. Sharing in case useful.,deadline_request,P0,ANSWER,none,,0,1,50
ep-00000,emp-001,ep-00000-m-0024,ep-00000-th-025,54.876,Status check | P571,"Thread anchor. Project P571. Owner Sam Shah. Due 2001-09-07. Question: what is the current status, and what is the next step? Regards.",information_request,P1,REQUEST_INFO,none,,0,1,50
ep-00000,emp-001,ep-00000-m-0025,ep-00000-th-026,55.206,Heads up | A554,Thread anchor. Project A554. Owner Jordan Patel. Due 2001-08-04. FYI: there is a minor change; no action needed from you right now. Regards.,informational_update,P2,ACK,none,,0,1,50
ep-00000,emp-001,ep-00000-m-0026,ep-00000-th-027,56.225,Heads up | D431,Thread anchor. Project D431. Owner Alex Brown. Due 2001-05-23. FYI: there is a minor change; no action needed from you right now. Thanks.,informational_update,P2,ACK,none,,0,1,50
ep-00000,emp-001,ep-00000-m-0027,ep-00000-th-028,56.67,Quick action needed | E251,Thread anchor. Project E251. Owner Casey Chen. Due 2001-07-02. Please take the requested action and confirm once done (or tell me what is blocked). Please handle this this week. Regards.,direct_request,P1,ANSWER,none,,0,1,50
ep-00000,emp-001,ep-00000-m-0028,ep-00000-th-029,62.758,[URGENT] Blocking incident | I228,Thread anchor. Project I228. Owner Alex Kim. Due 2001-02-15. A blocking issue is preventing progress; need a go/no-go decision on the fallback option. Need action by 2001-02-15. This is urgent. Noted for reference.,deadline_request,P0,ANSWER,none,,0,1,50
ep-00000,emp-001,ep-00000-m-0029,ep-00000-th-030,62.942,Status check | R427,"Thread anchor. Project R427. Owner Riley Patel. Due 2001-03-11. Question: what is the current status, and what is the next step? Noted for reference.",information_request,P1,REQUEST_INFO,none,,0,1,50
ep-00000,emp-001,ep-00000-m-0030,ep-00000-th-031,63.629,Draft attached | R840,Thread anchor. Project R840. Owner Morgan Kim. Due 2001-07-01. Sharing the latest draft for reference. No action required yet unless you spot an issue. Best.,document_delivery,P2,ACK,none,,0,1,50
ep-00000,emp-001,ep-00000-m-0031,ep-00000-th-032,65.757,Heads up | H956,Thread anchor. Project H956. Owner Jamie Clark. Due 2001-02-06. FYI: there is a minor change; no action needed from you right now. Regards.,informational_update,P2,ACK,none,,0,1,50
ep-00000,emp-001,ep-00000-m-0032,ep-00000-th-033,65.944,Schedule change | Z605,Thread anchor. Project Z605. Owner Jamie Chen. Due 2001-05-11. FYI: timeline shifted; we will adjust and confirm the new plan. Thanks.,informational_update,P2,ACK,none,,0,1,50
ep-00000,emp-001,ep-00000-m-0033,ep-00000-th-034,66.322,FYI update | Y703,Thread anchor. Project Y703. Owner Sam Kim. Due 2001-09-09. FYI: we made progress and will follow up with a fuller update later. Best.,informational_update,P2,ACK,none,,0,1,50
ep-00000,emp-001,ep-00000-m-0034,ep-00000-th-035,70.522,Owner clarification | I639,"Thread anchor. Project I639. Owner Jamie Brown. Due 2001-04-03. Question: who owns the next action here, and what is the expected timeline? Sharing in case useful.",information_request,P1,REQUEST_INFO,none,,0,1,50
