message_id,latency_sec,input_tokens,output_tokens,raw_invalid
ep-00000-m-0000,1.038259220123291,208,57,0
ep-00000-m-0001,1.038259220123291,208,57,0
ep-00000-m-0002,1.038259220123291,208,57,0
ep-00000-m-0003,1.038259220123291,208,57,0
ep-00000-m-0004,1.038259220123291,208,57,0
ep-00000-m-0005,1.0404548168182373,203,53,0
ep-00000-m-0006,1.0404548168182373,203,53,0
ep-00000-m-0007,1.0404548168182373,203,53,0
ep-00000-m-0008,1.0404548168182373,203,53,0
ep-00000-m-0009,1.0404548168182373,203,53,0
ep-00000-m-0010,1.3444101333618164,206,61,0
ep-00000-m-0011,1.3444101333618164,206,61,0
ep-00000-m-0012,1.3444101333618164,206,61,0
ep-00000-m-0013,1.3444101333618164,206,61,0
ep-00000-m-0014,1.3444101333618164,206,61,0
ep-00000-m-0015,1.0044447422027587,203,55,0
ep-00000-m-0016,1.0044447422027587,203,55,0
ep-00000-m-0017,1.0044447422027587,203,55,0
ep-00000-m-0018,1.0044447422027587,203,55,0
ep-00000-m-0019,1.0044447422027587,203,55,0
ep-00000-m-0020,1.11244740486145,206,58,0
ep-00000-m-0021,1.11244740486145,206,58,0
ep-00000-m-0022,1.11244740486145,206,58,0
ep-00000-m-0023,1.11244740486145,206,58,0
ep-00000-m-0024,1.11244740486145,206,58,0
ep-00000-m-0025,1.085103178024292,201,60,0
ep-00000-m-0026,1.085103178024292,201,60,0
ep-00000-m-0027,1.085103178024292,201,60,0
ep-00000-m-0028,1.085103178024292,201,60,0
ep-00000-m-0029,1.085103178024292,201,60,0
ep-00000-m-0030,0.9498576164245606,195,53,0
ep-00000-m-0031,0.9498576164245606,195,53,0
ep-00000-m-0032,0.9498576164245606,195,53,0
ep-00000-m-0033,0.9498576164245606,195,53,0
ep-00000-m-0034,0.9498576164245606,195,53,0
ep-00000-m-0035,0.9549293994903565,200,53,0
ep-00000-m-0036,0.9549293994903565,200,53,0
ep-00000-m-0037,0.9549293994903565,200,53,0
ep-00000-m-0038,0.9549293994903565,200,53,0
ep-00000-m-0039,0.9549293994903565,200,53,0
ep-00000-m-0040,1.211295986175537,204,61,0
ep-00000-m-0041,1.211295986175537,204,61,0
ep-00000-m-0042,1.211295986175537,204,61,0
ep-00000-m-0043,1.211295986175537,204,61,0
ep-00000-m-0044,1.211295986175537,204,61,0
ep-00000-m-0045,2.392980861663818,207,59,0
ep-00000-m-0046,2.392980861663818,207,59,0
ep-00000-m-0047,2.392980861663818,207,59,0
ep-00000-m-0048,2.392980861663818,207,59,0
ep-00000-m-0049,2.392980861663818,207,59,0
ep-00000-m-0050,1.001566219329834,183,58,0
ep-00000-m-0051,1.001566219329834,183,58,0
ep-00000-m-0052,1.001566219329834,183,58,0
ep-00000-m-0053,1.001566219329834,183,58,0
ep-00000-m-0054,1.001566219329834,183,58,0
ep-00000-m-0055,1.1017282009124756,193,59,0
ep-00000-m-0056,1.1017282009124756,193,59,0
ep-00000-m-0057,1.1017282009124756,193,59,0
ep-00000-m-0058,1.1017282009124756,193,59,0
ep-00000-m-0059,1.1017282009124756,193,59,0
ep-00000-m-0060,0.8746059894561767,186,54,0
ep-00000-m-0061,0.8746059894561767,186,54,0
ep-00000-m-0062,0.8746059894561767,186,54,0
ep-00000-m-0063,0.8746059894561767,186,54,0
ep-00000-m-0064,0.8746059894561767,186,54,0
ep-00000-m-0065,0.9737587928771972,192,59,0
ep-00000-m-0066,0.9737587928771972,192,59,0
ep-00000-m-0067,0.9737587928771972,192,59,0
ep-00000-m-0068,0.9737587928771972,192,59,0
ep-00000-m-0069,0.9737587928771972,192,59,0
ep-00000-m-0070,0.9219736099243164,184,58,0
ep-00000-m-0071,0.9219736099243164,184,58,0
ep-00000-m-0072,0.9219736099243164,184,58,0
ep-00000-m-0073,0.9219736099243164,184,58,0
ep-00000-m-0074,0.9219736099243164,184,58,0
ep-00000-m-0075,1.001303005218506,186,56,0
ep-00000-m-0076,1.001303005218506,186,56,0
ep-00000-m-0077,1.001303005218506,186,56,0
ep-00000-m-0078,1.001303005218506,186,56,0
ep-00000-m-0079,1.001303005218506,186,56,0
ep-00000-m-0080,0.9992002010345459,188,58,0
ep-00000-m-0081,0.9992002010345459,188,58,0
ep-00000-m-0082,0.9992002010345459,188,58,0
ep-00000-m-0083,0.9992002010345459,188,58,0
ep-00000-m-0084,0.9992002010345459,188,58,0
ep-00000-m-0085,0.9868075370788574,184,61,0
ep-00000-m-0086,0.9868075370788574,184,61,0
ep-00000-m-0087,0.9868075370788574,184,61,0
ep-00000-m-0088,0.9868075370788574,184,61,0
ep-00000-m-0089,0.9868075370788574,184,61,0
ep-00000-m-0090,0.8617115974426269,191,53,0
ep-00000-m-0091,0.8617115974426269,191,53,0
ep-00000-m-0092,0.8617115974426269,191,53,0
ep-00000-m-0093,0.8617115974426269,191,53,0
ep-00000-m-0094,0.8617115974426269,191,53,0
ep-00000-m-0095,1.0507733821868896,182,59,0
ep-00000-m-0096,1.0507733821868896,182,59,0
ep-00000-m-0097,1.0507733821868896,182,59,0
ep-00000-m-0098,1.0507733821868896,182,59,0
ep-00000-m-0099,1.0507733821868896,182,59,0
ep-00000-m-0100,0.9205920219421386,184,56,0
ep-00000-m-0101,0.9205920219421386,184,56,0
ep-00000-m-0102,0.9205920219421386,184,56,0
ep-00000-m-0103,0.9205920219421386,184,56,0
ep-00000-m-0104,0.9205920219421386,184,56,0
ep-00000-m-0105,1.1242695808410645,188,55,0
ep-00000-m-0106,1.1242695808410645,188,55,0
ep-00000-m-0107,1.1242695808410645,188,55,0
ep-00000-m-0108,1.1242695808410645,188,55,0
ep-00000-m-0109,1.1242695808410645,188,55,0
ep-00000-m-0110,1.1207280158996582,186,60,0
ep-00000-m-0111,1.1207280158996582,186,60,0
ep-00000-m-0112,1.1207280158996582,186,60,0
ep-00000-m-0113,1.1207280158996582,186,60,0
ep-00000-m-0114,1.1207280158996582,186,60,0
ep-00000-m-0115,0.8879149913787842,183,57,0
ep-00000-m-0116,0.8879149913787842,183,57,0
ep-00000-m-0117,0.8879149913787842,183,57,0
ep-00000-m-0118,0.8879149913787842,183,57,0
ep-00000-m-0119,0.8879149913787842,183,57,0
ep-00000-m-0120,0.9994257926940918,185,55,0
ep-00000-m-0121,0.9994257926940918,185,55,0
ep-00000-m-0122,0.9994257926940918,185,55,0
ep-00000-m-0123,0.9994257926940918,185,55,0
ep-00000-m-0124,0.9994257926940918,185,55,0
ep-00000-m-0125,0.8609625816345214,193,58,0
ep-00000-m-0126,0.8609625816345214,193,58,0
ep-00000-m-0127,0.8609625816345214,193,58,0
ep-00000-m-0128,0.8609625816345214,193,58,0
ep-00000-m-0129,0.8609625816345214,193,58,0
ep-00000-m-0130,0.9624988079071045,185,54,0
ep-00000-m-0131,0.9624988079071045,185,54,0
ep-00000-m-0132,0.9624988079071045,185,54,0
ep-00000-m-0133,0.9624988079071045,185,54,0
ep-00000-m-0134,0.9624988079071045,185,54,0
ep-00000-m-0135,1.019732618331909,187,54,0
ep-00000-m-0136,1.019732618331909,187,54,0
ep-00000-m-0137,1.019732618331909,187,54,0
ep-00000-m-0138,1.019732618331909,187,54,0
ep-00000-m-0139,1.019732618331909,187,54,0
ep-00000-m-0140,0.9052413940429688,186,55,0
ep-00000-m-0141,0.9052413940429688,186,55,0
ep-00000-m-0142,0.9052413940429688,186,55,0
ep-00000-m-0143,0.9052413940429688,186,55,0
ep-00000-m-0144,0.9052413940429688,186,55,0
ep-00000-m-0145,1.0249697685241699,190,62,0
ep-00000-m-0146,1.0249697685241699,190,62,0
ep-00000-m-0147,1.0249697685241699,190,62,0
ep-00000-m-0148,1.0249697685241699,190,62,0
ep-00000-m-0149,1.0249697685241699,190,62,0
ep-00000-m-0150,1.0977345943450927,193,61,0
ep-00000-m-0151,1.0977345943450927,193,61,0
ep-00000-m-0152,1.0977345943450927,193,61,0
ep-00000-m-0153,1.0977345943450927,193,61,0
ep-00000-m-0154,1.0977345943450927,193,61,0
ep-00000-m-0155,0.9432544231414794,194,63,0
